week,sales_method,customer_id,nb_sold,revenue,years_as_customer,nb_site_visits,state
2,Email,2e72d641-95ac-497b-bbf8-4861764a7097,10,NA,0,24,Arizona
6,Email + Call,3998a98d-70f5-44f7-942e-789bb8ad2fe7,15,225.47,1,28,Kansas
5,Call,d1de9884-8059-4065-b10f-86eef57e4a44,11,52.55,6,26,Wisconsin
4,Email,78aa75a4-ffeb-4817-b1d0-2f030783c5d7,11,NA,3,25,Indiana
3,Email,10e6d446-10a5-42e5-8210-1b5438f70922,9,90.49,0,28,Illinois
6,Call,6489e678-40f2-4fed-a48e-d0dff9c09205,13,65.01,10,24,Mississippi
4,Email,eb6bd5f1-f115-4e4b-80a6-5e67fcfbfb94,11,113.38,9,28,Georgia
1,Email,047df079-071b-4380-9012-2bfe9bce45d5,10,99.94,1,22,Oklahoma
5,Email,771586bd-7b64-40be-87df-afe884d2af9e,11,108.34,10,31,Massachusetts
5,Call,56491dae-bbe7-49f0-a651-b823a01103d8,11,53.82,7,23,Missouri
3,Email,c40f2602-8a7c-429e-bf13-cb1ec9e5f92f,9,89.49,4,28,Texas
2,Call,c20ab049-cbac-4ba7-8868-310aa89e0549,9,45.42,2,23,New York
5,Call,0b026b91-fe12-4af0-86f9-387ba81c8fdb,11,53.42,2,30,Maryland
2,Email,6103bcac-9da6-4000-a0ce-fa2615cce846,10,101.54,1,28,California
5,Call,96c8b5b8-cb81-4c75-a284-0e0026a03be8,10,51.87,1,30,Tennessee
4,Email,189d4f1b-9e76-4f64-9e71-7bd9b133a2d1,10,104.22,2,23,Missouri
2,Email,0f744f79-1588-4e0c-8865-fdaecc7f6dd4,10,NA,6,30,Pennsylvania
6,Email + Call,d10690f0-6f63-409f-a1da-8ab0e5388390,15,NA,0,24,Wisconsin
1,Email,78343227-76c7-493f-a01a-0e8f87bafb0a,8,82.01,4,24,North Dakota
1,Email,ca2fcee8-81f2-455a-a766-5213c56a7775,9,90.93,2,28,Florida
1,Email,ad1d8be5-aa0a-41e1-bbc6-7889b4a14521,9,90.51,4,25,Texas
1,Email + Call,544cf718-2b90-4e9f-ac4a-40ba0e7f2c88,9,128.87,6,24,Michigan
3,em + call,d72de17a-0d71-401b-b64a-dc4492b2b1ed,10,150.47,20,21,North Carolina
3,Email,d01d04aa-98d6-4c41-8642-16804dd9d2a9,9,94.53,7,27,New York
2,Call,3729ca37-5c95-438b-ab30-334b5181f4a8,8,42.43,0,21,New York
5,Call,a0099581-a293-40fa-8386-0204d9d7861f,11,53.84,4,27,Wisconsin
2,Email,59973ecb-3c3f-450e-88e5-3be98d151cf1,10,102.22,0,28,Pennsylvania
3,Email + Call,2c211b5b-7e1b-4b19-949e-a35f67e9fe25,10,153.07,8,24,Michigan
5,Email,f64f8fd5-e9b7-4326-9f5d-ef283f14d7ad,12,NA,4,32,Florida
4,Call,6df2e65f-dc0e-4503-927f-9482df830a6d,10,50.68,5,22,Indiana
2,Call,4a789e3f-76fe-43c9-9c6c-00eccca55954,9,43.13,5,27,Georgia
2,Email,7b9df531-08cf-4d25-9e13-438f9f33eeeb,10,103.47,17,21,Hawaii
5,Call,57a6a6fd-842f-4b28-8033-b2137096f086,11,55.74,36,26,Colorado
3,Call,0cf94e42-5cb8-4da1-b326-d556a7d14153,9,44.11,1,24,North Carolina
5,Email + Call,4a7ca51d-34c7-4fd2-a90f-c9104b636269,13,190.39,8,26,Illinois
1,Email,844db26b-028e-4251-ad72-b7fde9cf8ca0,9,NA,1,26,Arizona
3,Call,7e668931-bf4a-41c4-ba6c-3ff01aa47d45,8,40.17,2,23,Michigan
5,Email,8e42cbad-8088-440c-b990-13989b7365d2,11,111.88,1,25,Louisiana
2,Email,eb6da4c1-cb04-44fa-b166-fcd13ef20eec,10,101.22,0,24,Illinois
